"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"We're live in today's #ENRA hearing regarding #ClimateAction legislation.

Tune in: https://t.co/PbXnfchQIo

HT… https://t.co/qNMAKNPtgF",FALSE,2,NA,2021-09-22 18:09:59,TRUE,NA,"1440740173902278661",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BeccaRauschMA",0,FALSE,FALSE,NA,NA
"RT @thebetterindia: 1/ There is an unique school in #Assam, where students bring bags full of #plastic waste as the only form of fee that t…",FALSE,0,NA,2021-09-22 18:09:11,FALSE,NA,"1440739969664880640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","talkintree",13,TRUE,FALSE,NA,NA
"The Glasgow Declaration: Global #Tourism Industry Urged to Accelerate #Climate Action https://t.co/Qn4XkbeBE3… https://t.co/EF0IuqhTPP",FALSE,1,NA,2021-09-22 18:08:46,TRUE,NA,"1440739865402896384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gtpgr",0,FALSE,FALSE,NA,NA
"Repeated shocks from hurricanes, fires and floods are pushing some rural communities, already struggling economical… https://t.co/r8AJu0CU8r",FALSE,0,NA,2021-09-22 18:08:42,TRUE,NA,"1440739848810164225",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","GrahamCooley4",0,FALSE,FALSE,NA,NA
"Root-Cause Solution to Climate Change

https://t.co/FpN9TAshY9

#ClimateChange #ClimateCrisis #GlobalWarming… https://t.co/zLspsCdilu",FALSE,0,NA,2021-09-22 18:08:03,TRUE,NA,"1440739686876467200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MassCreativity",0,FALSE,FALSE,NA,NA
"The Cavendish Farms and Cavendish Agri Services’ annual Growers Field Day is an opportunity to share results from o… https://t.co/AfWqxdXqEB",FALSE,0,NA,2021-09-22 18:08:02,TRUE,NA,"1440739682287976452",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CavendishAgri",0,FALSE,FALSE,NA,NA
"#airpollution #beatairpollution #indoorairpollution #airpollutionsucks #delhiairpollution #stopairpollution… https://t.co/fL25Nesvl4",FALSE,1,NA,2021-09-22 18:08:01,TRUE,NA,"1440739678206889987",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EnviroVigyan",1,FALSE,FALSE,NA,NA
"🌎#24S #Tucuman se suma a la movilización internacional contra el cambio climático

⚡El evento será este viernes 24… https://t.co/0LGLKSkV90",FALSE,0,NA,2021-09-22 18:07:48,TRUE,NA,"1440739624058449920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LaNotaTucuman",1,FALSE,FALSE,NA,NA
"USGS and partners help understand when/where #bluewingedteal #ducks could transmit #avianflu to domestic #chicken a… https://t.co/l1vUDvMcDW",FALSE,0,NA,2021-09-22 18:07:24,TRUE,NA,"1440739521738383360",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","QuakeFactor",0,FALSE,FALSE,NA,NA
"Great for Privacy, Great for the #Environment: DuckDuckGo Is Now Carbon Negative #carbonnegative #planet https://t.co/zP7TbKho6d",FALSE,0,NA,2021-09-22 18:07:02,FALSE,NA,"1440739428893290499",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Katie_1331",0,FALSE,FALSE,NA,NA
